GivenName;Surname;SamAccountName;DisplayName;Enabled
Erika;Mustermann;erika.mustermann;Erika Mustermann;True
Hans-Jürgen;Bäcker;hansjuergen.baecker;Hans-Jürgen Bäcker;True
Anja;Klein;anja.klein;Anja Klein;True
Marie-Christin;Groß;mariechristin.gross;Marie-Christin Groß;True
Leslie;Fernández;leslie.fernandez;Leslie Fernández;True
Thomas;Müller;thomas.mueller;Thomas Müller;True
Thomas;Müller;thomas.mueller2;Thomas Müller (Team 3);True
Petra;Müller;petra.mueller;Petra Müller;True
Sören;Weiß;soeren.weiss;Sören Weiß;True
Katrin;Schöller;katrin.schoeller;Katrin Schöller;True
Max;Beispiel;max.beispiel;Max Beispiel;True
Sabine;Mustermann;sabine.mustermann;Sabine Mustermann;True
